"recVariant";"cnt"
"0";"2802"
"1";"3042"
"2";"3021"
"3";"3130"
"4";"3022"
"5";"2442"
"6";"5348"
"7";"2313"
"8";"3402"
"9";"2562"
"10";"3198"
"11";"3108"
