"recVariant";"cnt"
"0";"2119"
"1";"2267"
"2";"1546"
"3";"1944"
"4";"1929"
"5";"1638"
"6";"2334"
"7";"1644"
"8";"1464"
"9";"1590"
"10";"1830"
"11";"2190"
