"recVariant";"cnt"
"0";"3408"
"1";"2062"
"2";"1068"
"3";"1464"
"4";"1854"
"5";"1398"
"6";"2292"
"7";"1452"
"8";"2202"
"9";"1308"
"10";"2154"
"11";"1350"
