"recVariant";"cnt"
"0";"6079"
"1";"5577"
"2";"5660"
"3";"6439"
"4";"5339"
"5";"5341"
"6";"6260"
"7";"5101"
"8";"5414"
"9";"5442"
"10";"5473"
"11";"5448"
